teks,label
Kurang modal Indonesia tinggal uang rampasan korupsi   buat biaya redenominasi,positif
Mantp,positif
"Saya sangat setuju pak yg 1000 mnjd 1 ..
Krn sy kW pke duit Indonesia buat jajan 50.000 RB aja syg Krn 0 nya banyak 😂 tp kW pke duit $ aneh pke 1jt pun biasa aja 😂, jgn bnyk2 0 nya wkwkw",positif
Koruptor pusing ketahuan simpanan nya jika di tukar ketahuan hasil uang nya berasal dari mana😂😂😂😂?,positif
Sy sgt setuju,positif
"Kasian yang nyimpen uang hasil gak benar, malu mo nukerin,",positif
Yakin ga nih terealisasi ..?,netral
Balik ke jmn dulu lg dong,netral
Siap2 inflasi,positif
PERKUAT NILAI TUKAR RUPIAH TERHADAP DOLAR AMERIKA SERIKAT PAK PURBAYA ITU BARU GEBRAKAN,positif
"Pengalaman saya begitu 1000 jadi Rp 1, liat aja cepat naik naik naik. Harga2 barang. Sehingga inflasi akan cepat terjadi.",positif
Yg nyimpan duit hasil korupsi pasti takut dan tidak setuju,positif
"Baguss dari sisi apaa . Itu jadi di RUBAH
..",negatif
1 kg beras Rp. 79.000 jadi Rp 79 akan naik naik terus sd Rp 100 per kg. Sekarang TAKUT menaikkan 100.000 per kg.,negatif
"Sudah 2x NKRI menjadi 1000 jadi rp 1. A.l. th 1965 sekarang juga akhirnya ? Saat ini milyard. Tidak jadi efficiency, tidak buat ekonomi kita stabil. Malah sebaliknya. Naik naik naik cepat. Parkir 7000 jadi rp 7 lalu naik jadi rp 10.",positif
Gak usah mikir biaya dari pada di korupsi,negatif
1000 jadi 1 rp buat inflasi besar besaran dg cepat 😢😢😢,negatif
Belum urgen. Lantas URGENT nya kapan 😂,netral
Toh kita sudah terbiasa dgn bahasa 10k 20k dsb,positif
Kita dukung pak,positif
"Mantap pak pur, bikin gebrakan yg hebat2",positif
"Bapak Menteri Keuangan Mantap kebijakan Redenominasi mata uang , Mata uang  kita kebanyakan nol nolnya kurangkan karena tidak mempengaruhi nilainya ❤👍",positif
Jngan cuma angka uang aja yg d kurangi coba juga di fikirkan gimna caranya hutang indo bisa berkurang juga.,positif
Sepertinya pak purbaya sdg memancing tuyul2 berdasi agar duit negara PD muncul yg disembunyikan.  Dg menaikan nilai mata uang negara😅,positif
"aslinya untuk memusnahkan uang kartal yg numpuk di brankas koruptor, bagi yg paham aja, klo gak paham ya udah otaknya lum nyampek",positif
SAYA MENDUKUNG REFITALISASI MATA UANG SECEPATNYA SELAIN MENINGKATKAN VALAS JUGA BISA MEMBUKA KEDOG KORUPTOR,positif
Terus kerjanya apaaaa menteri keuangan sri mulyani kemarin,netral
Sangat setuju,positif
Untuk masa pergantian selama penarikan mngkin uang nya dibuat sama dulu bentuk dan gambarnya seperti awal dg nilai sama👍👍👍👍,positif
Jadi setara dollar lah 😊,positif
Menteri cerdas,positif
Yg di tunggu dari dulu,positif
Saya sangat setuju,positif
"Yang mana bodoh tu, Rq1000 Rq1 harga sama😂",negatif
Se7,positif
Setuju,positif
"Mentri kehabisan ide ya begini, bukannya meningkatkan expor, malah ganti uang, brp anggaran akan habis utk hal ini ?",negatif
Setuju,positif
Setuju,positif
Setuju,positif
Setuju,positif
Setuju,positif
"Bukan hal baru. Sdh sejak jaman pak Darmin Nasution. Pun bukan sesuatu yg luar biasa, jg tdk tll banyak manfaatnya. Kecuali lbh mudah penulisan, mengurangi resiko salah ketik/tulis.
Konsekwensi/resiko:
1. Biaya cetak uang baru. Kertas dan koin.
2. Inflasi. Krn harga² malah naik. Ilustrasinya: harga sekrng 1250. Nanti akan jadi 1,25. Kita hrs siapkan Rp 1 dan 25 sen. Trus apakah penjual akan tulis  Rp 1,25 atau Rp 1,30? Spy lbh mudah.
3. Reset seluruh sistem keuangan digital.
Yg lbh penting adlh pertumbuhan ekonomi dan menjaga nilai tukar.",positif
"Sangat setuju, kapan lagi",positif
"Jangan uang disalahkan ,seharusnya para koruptor dikoreakan .hukuman mati.titik.",negatif
"Alhamdulillah Semoga segala gagasan Pak PURBAYA tidk ada hambatan, segera cepat ber,laku",positif
"Yang nolak fix dukung koruptor, padahal kebijakan ini bagus, karena bisa membuat koruptor terendus dimana mereka nyimpan duit. Lalu dengan nol yg dikurangi membuat duit koruptor tidak ada lagi artinya. Sehingga koruptor bisa pusing jika dana itu disimpan dimanapun",positif
"Kalau di malaysia pecahan koin, 10 sen, 20 sen. 50 sen.
Indonesia harusnya pecahan koin ya, 10 perak. 20 perak. 50 perak.",positif
"Uang koin juga harus di aktifkan lagi,,, trus gimana ngomongnya,,",netral
"Karena kebobrokan Indonesia, harusnya redenom sudah dibuat tahun 2020-2022.
Saat covid terjadi, itu paling tepat menetapkan redenom karena pencetakan mata uang lebih mudah tukar dan distribusi ketika ada jeda kekosongan bisnis dan ekonomi global seperti itu.
Uang jarang digunakan karena kondisi tidak normal, wabah, lockdown.",positif
"Ini namanya penyederhanaan...
Sebab pecahan mata uang kita paling tinggi 100 rb...
Jadi kalau uang 100 JT aja butuh pecahan uang 100 x 100 banyak kertas..
Tapi kalau ini 100 juta cukup 100rb x 10",positif
"Karna uang indonesia kalau jadi di rubah,, berarti sama dengan uang ringgit malaysia,,",positif
regulasi redenominasi apa mata uang duluan dirubah atau bahan pokok duluan dirubah ini yg menjadi pertanyaan dimasrakat,netral
Ok gas mulai sekarang  uang yg beredar kita coret aj nolnya 3 biji untuk simulasi pelatihan,positif
"Berarti uang indonesia lebih besar dari uang ringgit malaysia,,",netral
Lanjutkan pak Purbaya,positif
setuju banget biar nilai mata uang kita terlihat tinggi nilainya. kalau sekarang kesannya Rupiah sangat rendah. kalau besok kebijakan ini sudah berjalan Nilai rupiah akan bergengsi nilainya. contoh perabndingannya 1 Usd = 16.000. terlihat nilai rupiah rendah beda dengan 1 Usd = 16 rupiah. kedua itu nilainya sama namun beda class.,positif
100 rupiah jadi berapa?,netral
Untuk apa..... kudet kau min... redominasi bisa membuat Indonesia lebih dihormati di internasional. Kita sdh terbiasa 20k 100k dst,positif
Lanjutkan bapak 😭😭😭😭❤️❤️❤️❤️,positif
"Yg punya uang hasil korupsi segudang kelabakan bagaimana cara menukarnya,tetap akan kedetek.!",positif
Setuju banget kren purbaya,positif
Rencananya kapan..,netral
"Menurutk lebih baik seperti itu, 1 rupiah",positif
"Koruptor sibuk tuker dolar dan beli tanah,rumah dll",netral
Uang koin 500 jadi apa?,netral
ga penting .memakmurkan rakyat dan pekerjakan rakyat itu penting,negatif
"Redenominasi aja lah, ribet banget nominal duit trlalu panjang klo di ketik. Gk ada harganya aja smp 3 digit nol nya",positif
Duit koruptor di bunker² jadi ga laku😂mau ditukar takut ketahuan korupsinya😂,positif
"Sekarang banyak di toko toko menjadi 20 k,50k,100k,10 k , biar gak dianggap sepele sama malaydes yg dianggap jutawan terlalu banyak nol nya😊😊😊😊",positif
Sudah waktunya Nusantara bangkit dari kesadarannya kembali ke jati diri.salam cerdas selaras dan WARAS,positif
Mata uang dan peredaran domain Bank Indonesia. Rededominasi tugas Bank Indonesia harusnya. Moneter tugas Bank Indonesia sesuai Undang-Undang. Menkeu maksudnya apa ?,netral
"Saya tunggu segera tidak sabar, kita di ejek india 100 rupe sama dengan 25.000, tapi kalau berhasil 100rupe jadi Rp25",positif
Belum ada urgensi nya.lantas gimana nilai tabungan di bank.,netral
"Sangat setuju...biar ""Uang Gelap"" hasil korupsi/judol/narkoba dan cara culas lain-nya, yg disimpan cash di bunker² besar bisa keluar dan bisa di cek asal-usulnya.",positif
Klw yg satu perak duaperak lima perak Gope gmn apa itu ilang gt,netral
Kita rakyat kecil tidak terganggu dengan nilai uang 1000 jadi 1 Rp,positif
"Salah satu untuk memberantas korupsi,lanjutkan sampai rampung redominasi",positif
"Gw dari ada isu tahun yg lalu  uang nolnya mau dihilangkan /dikurangi,sangat setuju..",positif
"Kami setuju biar ga terlalu banyak nol ,kaya di luar negri di arab contoh nya 1real dua real jadi ga ada nol nya di kurangin nol nya sama ajah sih",positif
"Saya sebagai guru matematika sangat setuju, karena kalau latihan soal angkanya kecil2, tapi pas bikin soal kehidupan sehari2 yang ada mata uang rupiah tidak mungkin doang nilainya satuan, puluhan bahkan ratusan pun sudah jarang dipakai dalam kehidupan sehari-hari.",positif
Setuju,positif
"Setuju, Bank Indonesia akan merealisasikan rencana penyederhanaan nilai mata uang Rupiah (Redenominasi) Rupiah; contohnya 1000 Rupiah menjadi 1 Rupiah, 10000 Rupiah menjadi 10 Rupiah, 100000 Rupiah menjadi 100 Rupiah.

Kejayaan Negara Kesatuan Republik Indonesia harus kembali seperti dulu sebelum terjadinya krisis moneter 1997-1998. Dan Indonesia harus menjadi negara yang berkelas di tingkat internasional.",positif
"Ngaruh ke psikologi enggak ya? karena kita melihat barang2 jadi lebih ""murah"", jadi lebih suka belanja gitu",netral
"Sederhana aja😊
Kalau menguntungkan utk rakyat, bangsa dan negara Indonesia  ya...bagus bagus aja",positif
Wahhh yang mau suap dibawah meja mikir² dulu ini😂,netral
Si Mbak nya mewakili ani-ani simpenan koruptor yang nerima duit cash. Makanya dia ga setuju dengan alasan yang pintar... ingat Broo jangan keTIPU...,netral
Rakyat selalu siap karena duit cuma numpang lewat di rekening. Yang ga siap koruptor,positif
Saya setuju lanjutkan,positif
Membongkar praktek koruptor simpan duit cash triliunan di rumahnya... mau ga mau dia harus tukar duitnya kalau ga mau busuk ga laku.. ada 3000 triliun duit yang ga masuk ke sistem perbankan maupun keuangan...,positif
Bannget,positif
"Bagus tuh, para koruptor akan bongkar bunkernya untuk ditukar 😂🤣",positif
Kalau mempermasalahkan nilai uang kenapa tidak tukar aja ke mata uang Zimbabwe. Biar merasa paling kaya di Indonesia.,netral
"Benar,harus di gantiin,kami yg kerja di luar negri yg mana gaji kami di bicarakan warga Philipina,uang Indonesia sampai milyar2 nilai nya..kami pun gengsi,lebih baik di rubah..",positif
"Resiko redominasi adalah inflasi yg tak terkendali, misal harga beras 17 000 jadi 25.000 per kg serta barang barang lainnya juga adanya yg cari kesempatan  keuntungan",negatif
Koruptor bakal menolak usulan ini.,positif
Klian perlu belajar mengkaji nilai tukar rupiah dengan banyak nol...itu ada efeknya terhadap kekuatan ekonomi dan kwalitas SDM dan menemukan kekuatan ekonomi kita....jganlah menghalu berlebihan,positif
"Baguslah 
Dari pada jumlah besar tapi nilainya kecil",positif
"😊belum tahu rasanya thd kebijakan ini ? bikin kacau harga2 di dlm negeri kyak kejadian tempo doeloe, yg jadi sengsara adalah masyarakat kecil / miskin😢",negatif
Setuju.,positif
"Saat Eropa beralih dari mata uang masing-masing negara ke Euro, banyak orang menyambutnya dengan positif karena melihat berbagai keuntungan di depan mata.
Misalnya dulu, kalau seseorang bepergian ke negara tetangga, mereka harus menukar uang ke valuta negara tujuan. Dengan adanya Euro, hal ini jadi jauh lebih praktis dan efisien.

Namun, contoh seperti Belanda dari Gulden ke Euro menunjukkan sisi lain.
Ketika masih menggunakan Gulden, kenaikan harga sekecil 25 cent saja terasa bagi masyarakat.
Setelah beralih ke Euro — dengan nilai tukar kira-kira setengah (misalnya 10 Gulden menjadi sekitar 5 Euro) — persepsi terhadap nilai uang berubah.

Karena itu, jika redenominasi dilakukan di Indonesia, saya tidak melihat ada keuntungan langsung bagi masyarakat.
Saat ini, ketika harga naik, kita masih bisa “merasakan” perubahan nominalnya secara psikologis.
Tapi jika tiga nol dihapus (misalnya dari Rp1000 menjadi Rp1), lalu nanti harga naik Rp500 yang setara dengan 0,5 “rupiah baru”, secara psikologis kita bisa saja tidak sadar adanya kenaikan itu.

Begitu juga dengan gaji — jika sebelumnya seorang karyawan naik gaji Rp500.000, nanti mungkin hanya tertulis naik 500 “rupiah baru”.
Pertanyaannya, apakah secara psikologis kita sudah siap dengan perubahan persepsi nilai seperti itu?",positif
Berarti 500 Rp GK ada ya?,netral
"1) Untuk saat ini, APA URGENSINYA?
2) Bisa timbulkan gonjang ganjing Ekonomi yg tidak perlu. Apakah sdh dipikirkan Reaksi masyarakat? 
Belum lagi penyusunan UU & keribetan implementasinya. 
3) Ekonomi lagi lesu, daya beli masyarakat menurun, PHK merebak, Pabrik2 Gulung Tikar dll <- hal2 ini yg harus diperhatikan/diprioritaskan. 
4) Purbaya punya UTANG JANJI kpd Publik.
Ekonomi akan membaik Desember thn ini & akan tumbuh 6% di 2026. 
5) Utk Poin-4 diatas saja, tidak mudah bagi Purbaya utk membuktikan.
Kalo tidak terbukti? Kepercayaan masyarakat thd Purbaya akan hilang. 
6) Jangan bikin gebrakan yg tidak perlu utk saat ini.",negatif
"Nilai masi hancur, ada sen lg ya 😂",negatif
Saya setuju karna menghitung nya ribet,positif
Yg paling penting ini bisa membongkar uang tunai yg ditimbun digudang oleh para koruptor dan penjahat.,positif
"SETUJU!!!, 

Jujur saya malu kalau ada kolega dari luar negeri, Pas lagi ajak makan melihat harga menu makanan di restoran kok kelihatan mahal sekali,

Kita selama ini kelihatan kaya dengan nominal tinggi,
Aktual nya kita miskin 😂",positif
mantep. gas pak pur.. biar yang nyimpen uang triliunan hasil korupsi di ruangan khusus harus dituker bawa ke bank akhirnya ketahuan😂,positif
Setuju,positif
"Ngapain, bentar lagi kita kan bubar",negatif
Kapan?ntr omon2 doang,negatif
"Sangat setuju pak,.segera saja",positif
Supaya yg korupsi tangan uangnya ga laku,positif
Tanpa kita sadari sebenarnya kita sudah mengalaminya. Hanya saja bukan dalam bentuk uangnya,positif
Ga penting buat kita saat....lebih tekanan....lebih baik perbaiki ekonomi kurangi pengangguran,negatif
SAYA SANGAT SETUJU!! BIAR UANG2 TUNAI YANG SAAT INI DIGELAPKAN KORUPTOR JADI KETAHUAN SEMUA KARENA KALAU TIDAK DITUKAR DALAM PERIODE WAKTU TERTENTU JADI TIDAK LAKU LAGI HAHAHAHA..,positif
Saya sangat setuju .sesuai luar negri dan untuk koruptor biar jadi sampah.kalau di simpan di luar bank,positif
Segera diresmikan,positif
"Mantap ..... Pak Pur ...... Jangan terlalu banyak angka nol dibelakangnya , bila perlu mata uangnya jadi Nusantara/NS/NR , lanjutkan mantappp 👍👍",positif
"sebenarnya bisa diredominasi😂 tapi karena kebiasaan pengang duit 0 nya byk, kyk jadi miskin dlm sekejap🥴🤣🤣🤣",positif
Alaah tinggal ngikutin bae yg pntg sama,positif
Ok,positif
Masih banyak kerjaan yang lebih pnting.Itu bea cukai harus di awasi,negatif
Lebih cepat lebih baik ❤,positif
Tolong. Pak. Purbaya. Benar. Rupiah. Harus. Dihapus. Di. Ganti. Ribuan. Biyar. Masa. Rakat. Mak. Mur. Oke. Pak. Purbaya,positif
"Bagaimana harga2 barang misalnya harga sebuah mobil 200 000 000 berarti menjadi rp 2000 000 itu baik, kalau harga msh tetap rp 200 000 000 RAKYAT YG JADI KORBAN -",negatif
"Lah ini kan program yg sudah ada sejak SBY, yg dirancang BI untuk menyerdehanakan bilangan nilai mata uang rupiah...cm pasti ada kesulitannya shg BI sampe skrg belum bisa melaksanakan...",negatif
"Kalau uang kita 1m..jadi 1..juta...trus kalau utang kita 1m...berarti jadi 1...juta dong....
Terus...kalau cicilan hutanv...kpr kita 3..juta...
Berati jadi...300.000....begitu kah...???",netral
"Benix pasti tersenyum lebar dengar wacana ini
Moga segera di realisasikan",positif
"Nanti akan ada 1 sen, 5 sen, 10 sen 50 sen pecahan kecil akan banyak beredar dimasyarakat, apakah nanti akan menstabilkan rupiah? Masih tanda tanya. Semua tergantung dari masyarakat Indonesia sendiri untuk memperbaiki perekonomiannya, negara tidak akan bisa membangun perekonomian tanpa dukungan rakyatnya sendiri dengan kerja keras.",positif
"Biar rupiah ndk bertumpuk,,",positif
Saya dukung.. Mata uang kita dianggap murah .. saya dukung.. .. Jadi 1 dolar setara 16     bukan lagi  16.000,positif
mantap,positif
"Ekonomi harga2 yg sembilan bahan pokok gimana caranya itu misalnya beras 1 kaleng beras Rp.325.000,-  jadi menurut redenomilasi berapa iya! Jadi Rp.325,-/ klg",netral
"Kalau Nominal uang akan di hilangkan 3 Nol  rp 1000 jadi RP 1 gampang tetapi bagaimana Daya beli RAKYAT HARGA2 PANGAN MISALNYA GULA RP 15000 & BERAS RP 15000 HARUS JADI RP 15  KALAU HARGANYA TETAP TDK DI POTONG Rakyat SUSA,-",negatif
Penyederhanaan mata uang rupiah  justru lebih baik sebab selama ini uang rupiah itu tidak punya harga dimata dunia coba anda bandingkan mata uang dolar mata uang Inggris dan bahkan mata uang di Asia pun kita kalah jauh jadi penyederhanaan mata uang harus kita dukung.,positif
Sagt betul pak menteri,positif
Kalo jadi di berlakukan akan mempermudah transaksi karena tdk mengurangi nilai uang tsb tetapi lebih ke arah efisiensi mata uang.,positif
"Segera wujudkan, jangan hanya sedang menyiapkan...",positif
Misalnya sekarang beras Rp.15000/kgtidak munkin beras menjadiRp.1500.,positif
Kalo Yang Kontra Itu Orang Sombong Karena Gak Lagi Di Panggil Milyarder Nantinya,netral
Uang parah koruptor nanti tidak akan laku lg,positif
Good luck Republik Indonesia 🎉🎉🎉🎉🎉,positif
setuju di segerakan ga dirubah kaya sampah,positif
Bagus bang nanti kalo nilai rupiah turun karena cetak uang lagi tinggal dipangkas lagi nolnya😂😂😂 negara hebat rakyat yg susah😂😂😂,negatif
Berarti uang paling kecil seribu rupiah...uang lima ratus kebawah gk berlaku.,netral
kasiah siwa jurusan akuntansi kalo Nol nya kebanyakan........ nah kalo ini kan lebih simpel,positif
Setuju biar ga kebanyakan nol nya..tinggal teknisnya saja dibikin uang gambar dan warna yg sama cuma nol 3 nya diganti titik 3.. masyarakat akan paham .,positif
Hebat beli motor sekarang beli  motor matic 20 jt besok jadi 20 ribu 😂😂😂 mantappppp mgitungnya pun di kalkulator lebih muda 😂😂😂 kalau kebanhakan nol kalakulatornya  gak muat😅😅😅,positif
"Bener banget pak, saya sering dapat tip dri tamu 1000
Dikira nilai nya besar",positif
"Kami masyarakat Indonesia dari sabang hingga marauke sangat sangat sangat setuju sekali adanya redenominasi, sbb kami sebagai warga negara Indonesia melihat uang kita yg nominalnya gede sekali tapi harganya sangat tidak bernilai.. Tunggu apalagi mentri keuangan, cepat lakukan redenominasi uang rupiah yg sdh kebablasan nilai angkanya, tapi nilainya tak ada sekali.. Masa kita megang dolar 160 dolar sama dengan 1.600.000,-malu rasanya uang kita terlalu banyak enolnya.. Sudah waktunya bahkan cukup terlambat sekian puluh tahun ke belakang untuk di redenominasi oleh menku terdahulu.. Kami satu trilyun mendukung menku untuk redenominasi",positif
"Nanti semua negara2 ikut,indonesia aja bisa?",positif
"Sebenarnya itu jg pernah dilakukan dijaman Soekarno. Lagian udah terlalu banyak nolnya. Bahkan di kampung"" banyak yg menyebut satu juta jadi seribu.",positif
Urgent sekali utk balikin duit korupsi yang disimpen di bawah kasur. Serius ini,positif
"Jadi uang tabungan rakyat kecil ada uang ditabung misalnya satu juta menjadi 1000,- rupiah jadi tsb nanti kebingungan jadi melek hatinya artinyA berkurang .",positif
"SEGERA PAK, ITU SANGAT BAIK UNTUK PERTUMBUHAN KESEJAHTERAAN RAKYAT, TIDAK PERLU BANYAK PIKIR DAN KOMENTAR. KEBANYAKAN MIKIR TIDAK BAIK, SELALU GAGAL.",positif
"Penghitungan keuangan lebih simpel, lebih percaya diri mata uang dimata dunia karena sederhana mata uang. 

Bagi koruptor, yang simpan Trilyunan rupiah tunai, bakal pusing karena bila tidak ditukar nggak bakal laku. Bila ditukar ketahuan korupsi.",positif
"Mantap, semoga awal tahun sudah mulai terealisasi 🙏🙏🙏👍👍👍❤️❤️❤️",positif
Di era duo Mul ini cuma wacana doang,negatif
Yg ga se7 yg punya tumpukan di bawah kasur😂😂😂😂😂,positif
Dari dulu saya membayangkan seperti ini,positif
Orang kaya pada takut😂😅😅,netral
Mantap gue setuju biar ga di lecehkan bule seenaknya mata uang mereka besar beli vila bali beli tanah bali beli pulau.. dan rupiah kita gada harganya,positif
Mantap gue setuju biar ga di lecehkan bule seenaknya mata uang mereka besar beli vila bali beli tanah bali beli pulau.. dan rupiah kita gada harganya,positif
itu bagus sekali 1000rp jadi 1 rupiah matap pemeritah sy sebagai rakyat indonesia.setuju👍👍👍👍👍,positif
Mantap gue setuju biar ga di lecehkan bule seenaknya mata uang mereka besar beli vila bali beli tanah bali beli pulau.. dan rupiah kita gada harganya,positif
Mantap gue setuju biar ga di lecehkan bule seenaknya mata uang mereka besar beli vila bali beli tanah bali beli pulau.. dan rupiah kita gada harganya,positif
Mantap gue setuju biar ga di lecehkan bule seenaknya mata uang mereka besar beli vila bali beli tanah bali beli pulau.. dan rupiah kita gada harganya,positif
Mantap gue setuju biar ga di lecehkan bule seenaknya mata uang mereka besar beli vila bali beli tanah bali beli pulau.. dan rupiah kita gada harganya,positif
Mantap gue setuju biar ga di lecehkan bule seenaknya mata uang mereka besar beli vila bali beli tanah bali beli pulau.. dan rupiah kita gada harganya,positif
Mantap gue setuju biar ga di lecehkan bule seenaknya mata uang mereka besar beli vila bali beli tanah bali beli pulau.. dan rupiah kita gada harganya,positif
Apakah kebijakan ini akan membuat harga emas naik ???,netral
Zaman pak Soekarno juga pernah 1000 jadi 1 rupiah kalo gak salah namanya resesi.,netral
1.000 rp jadi 1dolar👍👍👍,positif
"Jadi uang Rp 10.000,-jadi Rp 10,-? Begitu?  Dan seterusnya 100.000 Rp menjadi 100,- rupiah.",netral
Sangat setuju pak mentri❤,positif
bakal laris tukang laundry ama  tukang jual emas.,positif
"Segera percepat redenominasi rupiah.
kalo yg belum paham dan ngerti coba belajar geo ekonomi, geo politik dan geo strategi. Redenominasi itu juga bisa melacak uang2 kotor para koruptor.
Kalo nanti DPR tidak setuju
Tanda tanya rakyat pada DPR akan makin panjang sampai ke jembatan Sirotol Musstakim.",positif
Sangat setuju Krn tidak mengurangi nilai uang. dan lagi uang hasil korupsi yang di timbun di bungker yg mencapai ribuan trilyun akan tidak berani menukarkan ke bank. uangnya jadi tidak berlaku sehingga tidak terjadi inflasi..,positif
Klo cepet lebih bagus itu resiko nya cuma kecil meskipun di kampung orang paham bapak gue aja umur 64 paham,positif
👍💯,positif
Alihkan isu tak ada manfaatnya,negatif
Mantappp,positif
Kita jadi negara maju karena efek uang terlalu banyak nol nya........ Lanjutkan pak koboy.. Demi kemajuan negara tercinta,positif
"Yg terpenting itu,bs menguatkan rupiah thd dolar amerika",positif
Kalau begitu uang logam 500 rupiah di ganti dong jd  uang logam 1 sen,netral
"Hati"" bung ,klau ada uang yg diumpetin koruptor nanti bisa terlihat ,klau ada  yg tukar uang dgn jumplah yg besar perlu dicurigai",positif
"Wahh..( sepertinya) Bisa2 Barang2( Tertier..) Bakal  melejit.... 

Hmm.. mm.. Gaji / penghasilan  kalangan menengah-bawah... Bakal naik tidak yah...?",netral
Jika bnr maka para koruptor habis sdh jadi miskin 😂😂😂,positif
besok kalau cerita ke anak dulu bapak kaya uangnya berjuta juta 😆😁🤣,netral
Pas kerja di brunei aku malu diledekin sama temen2 dari Filipina karena melihat uang rp. 1000 dalam bentuk koin. Mereka tertawa sambil nyindir wow 1000 dolar ya??? 😅😅😅,netral
"G guna boss bila ekonomi kita g kuat atau stabil. Redominasi hanya u/ pembukuan yg ringkas saja 😂😂. Itu cuma cari panggung Purbaya 😂😂, krn nilai tukarnya sama 😂😂",negatif
Jangan tanggung proyek wosssh pak ....pimpinan  bapak omon2,negatif
Baguslah... Untuk menghindari korupsi yang tidak mungkin bisa di selesaikan,positif
Koruptor ketakutan😂😂😂,netral
Kalau bisa di percepat pak ekonomi Indonesia sudah aman dan stabil,positif
"koruptor yg menyimpan uang pada panik ,,mereka pasti akan keluarkan uang yg mereka timbun dan simpan,uang hasil maling korupsi pasti akan mereka keluarkan,dari pada uang ga laku percuma disimpan..ekonomi pasti akan naik.ini strategi jitu agar uang uang yg diumpetin pada keluar semua",positif
"Ini adalah salah satu buah membekukan uang para koruptor, karna saat dia nyimpan uangnya di gudang, kalau ga ditukar bakal ga laku uang hasil korupsinya 
Kalau mau di tukar atau mau disimpan di bang, akan ketahuan harta kekayaannya 😂",positif
"Ini adalah salah satu buah membekukan uang para koruptor, karna saat dia nyimpan uangnya di gudang, kalau ga ditukar bakal ga laku uang hasil korupsinya 
Kalau mau di tukar atau mau disimpan di bang, akan ketahuan harta kekayaannya 😂",positif
Dukung!,positif
"Salah satu cara juga untuk mendapatkan kembali uang negara yg tersimpan disaku koruptor,, mantap.",positif
setuju mudah mudahan terujud!,positif
Ini baru mantap,positif
Ini baru jenius????,positif
"Sama saja percuma tetep sama nilai tukar rupiah terhadap dolar trus naik hutang pun akan meroket , mata uang asing gak terkontrol beredar di negara ini 😅",negatif
Mantap,positif
"Kalau uang nanti dipotong angka nolnya sebanyak 3 buah 

Berarti para pejabat enak dong yah kakak mendukung korupsi yah 😂😂😂

Uang digital yang ada ditabungan saya yang sebesar 1 juta kalau dipotong 3 buah angka nolnya maka tabungan saya isinya cuma 1000 doang yah 😂😂😂

Kalau rekeningnya pejabat uang digitalnya ada 1 juta ga dipotong yah tetap 1 juta isi yah isi dari uang digitalnya😂😂😂 enaknya 😂😂😂

Saya kalau mau cairkan uang digital saya ke uang fisik maka saya cuma dapat uang sebesar 1000 doang yah karna uang digital saya angka 0 nya uda dipotong 3 digit 😭😭😭😭

Kalau para pejabat mau cairkan uang digitalnya ke bentuk uang fisiknya maka mereka akan tetap dapat uang sebesar 1 juta yah 

Kok enak dimereka yah 😭😭😭",negatif
"hapus uang 2000, biar bayar parkir 1000 ja",netral
"Bagus dan secepatnya,itu membatu memajukan negara kita ,terbaik👌🏻",positif
Ganti nama dollar Indonesia,positif
"jika kita menyimpan 100rb, maka kedepan kita akan terlihat kaya",positif
"tolong jugalah sekalian reformasi juga bentuk desain  dan bahannya ,, bikin dan buat yg lebih mewah dan tahan sobekan/mudah kusut biar penampakan uang Indonesia lebih berharga nilainya.",positif
Setuju 1000000000000000%,positif
Setuju jangan ditunda tunda lagi,positif
rakyat sll mendukung untuk kebaikan bangsa ini,positif
"cuma buang nolnya saja, mnurut saya gak ada bedanya",negatif
"Hebatnya Menkeu P. Purbaya, uang yg dikorup oleh pejabat akan tidak berlaku, jika ditukar mereka ajsn ditangkap.",positif
"Secepatnya lah rupiah wajib redenomenasi,,,",positif
UNTUK MENGURANGI JARAK TUKAR YG SANGAT JAUH....,positif
"tidak ada pengaruhnya orang2 korupsi , kalau di ubah belum saatnya, Indonesia Masi banyak korupsi",negatif
"Mas jangan diwawancara kan orang bodoh ,,ini harga diri bangsa ini kalau mata uang kita ini terlalu kecil berbanding dolar 😂",negatif
"Namanya jangan rupiah tapi dolar Indonesia,mantap",positif
"Ini baru mantap ini supaya kantong nga terlalu berat bawa duit lagi ,,😂😂",positif
Di belakang jangan di tulis rupiah tapi dolar Indonesia misalnya 1 dolar Indonesia,positif
Apa manfaatnya...?,netral
"Trs ntr yg di rekening gmn pak,y klo 1rb 2rb,lha klo ratusan juta",netral
Ekonomi saja blm stabil udh banyak rencana buat bingung saja,negatif
"Ini biar uang koruptor hangus bos..
Yang koruptor kan simpenya di brangkas,ga di bank..",positif
Mantap berita mantap 👍,positif
10 M jadi 10jt😂,netral
Jokowi nangis lihat ini 😂,netral
Gunanya untuk ap,netral
Se 7......,positif
Dr duluuuu beginian cm jd wacana doang… bosen..,negatif
Koruptor simpang uang cash pening😂😂😂,positif
"Terima kasih pak Jokowi dan pak Luhut yg sudah mempersiapkan menkeu 2025,pengganti ibu Sri.M.
Terima kasih pak Prabowo yg sudah memilih pak Purbaya menjadi menkeu untuk menuju pertumbuhan ekonomi 10%.",positif
"Nama mata uang nya sekalian ganti jgn rupiah kek prindapan aja sumpah, redominasi dan tingkatkan nilai mata uang kalo bisa agar lebih tinggi nilainya dari usd",positif
❤,positif
